d,price_usd,address_10k_1k
2023-04-23,27604.6855742256,1903
2023-04-24,27520.1996729982,1904
2023-04-25,28302.6942180012,1899
2023-04-26,28384.2340333139,1902
2023-04-27,29465.5514272355,1902
2023-04-28,29350.811886616,1904
2023-04-29,29221.5145075979,1908
2023-04-30,29362.0867974868,1905
2023-05-01,28114.9531873174,1904
2023-05-02,28690.5809959088,1903
2023-05-03,29045.0427735243,1901
2023-05-04,28855.8574465225,1899
2023-05-05,29552.9695236704,1907
2023-05-06,28899.4629602572,1905
2023-05-07,28761.738434249,1906
2023-05-08,27727.2854091175,1911
2023-05-09,27642.4281092928,1912
2023-05-10,27646.004902104,1911
2023-05-11,26986.271065751,1912
2023-05-12,26773.3443591467,1916
2023-05-13,26841.3982913501,1913
2023-05-14,26918.261597896,1911
2023-05-15,27231.6216052016,1923
2023-05-16,27025.7181864407,1922
2023-05-17,27401.0440610754,1915
2023-05-18,26843.2350938048,1922
2023-05-19,26889.503631502,1923
2023-05-20,27100.8582878434,1923
2023-05-21,26777.0977831677,1925
2023-05-22,26858.7370637054,1921
2023-05-23,27226.8558763881,1922
2023-05-24,26341.4306446522,1920
2023-05-25,26484.8359234366,1921
2023-05-26,26720.3838071303,1927
2023-05-27,26854.5403702513,1927
2023-05-28,28097.5211259497,1923
2023-05-29,27765.0728693746,1918
2023-05-30,27712.4915844535,1916
2023-05-31,27217.6832580362,1916
2023-06-01,26825.3713451198,1917
2023-06-02,27255.2279941555,1920
2023-06-03,27079.4084643483,1918
2023-06-04,27158.25456955,1915
2023-06-05,25785.8514842198,1917
2023-06-06,27213.7705187025,1914
2023-06-07,26339.5790292227,1915
2023-06-08,26521.693600526,1911
2023-06-09,26470.6775780245,1911
2023-06-10,25863.2138506721,1909
2023-06-11,25906.8281516657,1911
2023-06-12,25906.7519354179,1908
