d,price_usd,rhodl_1m
2013-06-24,99.0456832262,8984.067433333334
2013-06-25,97.83278872,8906.408366666667
2013-06-26,98.6517007598,8835.377633333334
2013-06-27,96.8039495991,8741.8596
2013-06-28,89.4245067212,8642.475533333334
2013-06-29,88.7972910579,8547.431633333334
2013-06-30,89.4809076563,8500.515966666666
2013-07-01,82.8675701344,8420.920600000001
2013-07-02,87.8164666861,8327.4039
2013-07-03,77.6913308007,8231.248033333333
2013-07-04,79.1348708358,8152.633633333333
2013-07-05,67.4476238527,8067.4059333333325
2013-07-06,66.3416808884,7963.278300000001
2013-07-07,72.1095223729,7863.111566666667
2013-07-08,73.9885537697,7761.598300000001
2013-07-09,74.8919108708,7695.370733333332
2013-07-10,85.013679135,7628.569566666667
2013-07-11,87.4975493863,7573.189966666667
2013-07-12,90.0466987142,7569.843766666667
2013-07-13,91.592597896,7581.602833333333
2013-07-14,89.8922692759,7591.580566666667
2013-07-15,93.7961525424,7628.387333333333
2013-07-16,91.7810356517,7684.052766666667
2013-07-17,91.0313512566,7720.222266666666
2013-07-18,84.9617291175,7757.4187
2013-07-19,86.2387945996,7793.028966666667
2013-07-20,84.9108591467,7825.4084
2013-07-21,85.6643502618,7846.7591999999995
2013-07-22,85.6490286382,7863.411666666667
2013-07-23,86.977056692,7848.5705
2013-07-24,88.1517305669,7815.041666666667
2013-07-25,90.1660922268,7768.930066666667
2013-07-26,89.9839859731,7714.9646
2013-07-27,88.1652758621,7715.055266666666
2013-07-28,92.7458421975,7736.307233333334
2013-07-29,93.2986972531,7787.6914333333325
2013-07-30,96.659552893,7851.913633333334
2013-07-31,98.0244199299,7949.281266666667
2013-08-01,96.5680178258,8077.7896
2013-08-02,96.0745306838,8265.436366666667
2013-08-03,95.5067095266,8434.427166666666
2013-08-04,96.3654821742,8603.910166666667
2013-08-05,97.5271338399,8758.299266666667
2013-08-06,97.6712066043,8913.894266666666
2013-08-07,97.0542068966,9043.428199999998
2013-08-08,94.2572717709,9148.654766666668
2013-08-09,92.4727767387,9217.121866666666
2013-08-10,93.293552893,9286.980733333334
2013-08-11,94.2713123904,9366.807399999998
2013-08-12,95.4464707773,9468.745966666665
2013-08-13,97.7590750847,9578.9146
2013-08-14,99.1212875511,9690.3018
2013-08-15,98.1063331385,9785.177300000001
2013-08-16,98.2909602572,9889.938066666666
2013-08-17,99.6305043834,9992.430300000002
2013-08-18,99.1780397428,10099.399200000002
2013-08-19,102.7840122735,10206.828266666667
2013-08-20,104.5002109877,10342.399066666667
2013-08-21,110.8016037405,10478.489933333332
2013-08-22,109.5232168323,10640.201433333334
2013-08-23,107.6975715956,10798.0664
2013-08-24,108.8826750438,10971.243966666665
2013-08-25,113.0825634132,11139.702466666668
2013-08-26,112.1181148451,11264.264799999999
2013-08-27,117.7597907656,11353.091199999999
2013-08-28,118.3174143776,11452.845933333334
2013-08-29,118.8356382233,11551.029
2013-08-30,124.8853796026,11649.791533333333
2013-08-31,128.3779789597,11747.994499999999
2013-09-01,130.5363720047,11817.414933333332
2013-09-02,129.5653717124,11932.8824
2013-09-03,129.1828036236,12047.934033333333
2013-09-04,122.5292387493,12173.926533333335
2013-09-05,122.370085038,12295.909099999999
2013-09-06,117.8611464056,12429.7596
2013-09-07,119.8149894798,12562.922033333332
2013-09-08,118.0573863238,12729.911666666665
2013-09-09,121.2592726476,12859.821333333333
2013-09-10,122.2155301894,12943.108600000001
2013-09-11,127.0882270602,12996.015266666667
2013-09-12,126.7807235535,13040.565533333332
2013-09-13,127.4077451783,13081.867066666666
2013-09-14,124.3484774985,13133.657799999999
2013-09-15,125.0764178843,13170.510866666667
2013-09-16,126.2046659848,13193.561333333333
2013-09-17,126.8972501461,13197.745633333334
2013-09-18,126.9038194039,13234.644166666667
2013-09-19,124.1809573349,13246.082933333333
2013-09-20,122.9216358854,13241.792099999999
2013-09-21,123.5082568673,13243.0919
2013-09-22,123.1249351257,13265.412033333334
2013-09-23,122.8656990064,13294.484333333334
2013-09-24,123.7973576856,13331.405999999999
2013-09-25,123.614078609,13343.476666666667
