d,price_usd,mvrv_zscore
2012-05-13,4.9447950538,0.023002
2012-05-14,5.011435922,0.041851
2012-05-15,5.0336404004,0.048031
2012-05-16,5.0877845091,0.064004
2012-05-17,5.0896616864,0.066304
2012-05-18,5.1183014828,0.076555
2012-05-19,5.1125458112,0.075011
2012-05-20,5.0942009684,0.07524
2012-05-21,5.0942213101,0.079089
2012-05-22,5.0891391888,0.078388
2012-05-23,5.1288588998,0.089023
2012-05-24,5.1191577592,0.090125
2012-05-25,5.1372768065,0.095047
2012-05-26,5.1039788048,0.089717
2012-05-27,5.134616135,0.097936
2012-05-28,5.1363254191,0.098508
2012-05-29,5.1484706978,0.101961
2012-05-30,5.1382645693,0.099285
2012-05-31,5.1816397212,0.117789
2012-06-01,5.266943758,0.140886
2012-06-02,5.2436390602,0.134137
2012-06-03,5.2127049848,0.125508
2012-06-04,5.2587658574,0.138232
2012-06-05,5.4260142949,0.184101
2012-06-06,5.446169422,0.188929
2012-06-07,5.5871698098,0.227202
2012-06-08,5.6225291017,0.235839
2012-06-09,5.5570023355,0.21689
2012-06-10,5.4578935693,0.188816
2012-06-11,5.5869969816,0.223955
2012-06-12,5.7274912987,0.261954
2012-06-13,5.9093013238,0.311698
2012-06-14,5.9620231821,0.326108
2012-06-15,6.5233807192,0.47975
2012-06-16,6.4441582823,0.454789
2012-06-17,6.199966488,0.383651
2012-06-18,6.3108446686,0.414478
2012-06-19,6.494826716,0.465727
2012-06-20,6.6935510555,0.521956
2012-06-21,6.6722625038,0.51413
2012-06-22,6.5637616978,0.481107
2012-06-23,6.4475416891,0.446814
2012-06-24,6.3504940386,0.419016
2012-06-25,6.31747363,0.409827
2012-06-26,6.4328608288,0.441201
2012-06-27,6.6157134015,0.492192
2012-06-28,6.590064633,0.483799
2012-06-29,6.6587767572,0.502637
2012-06-30,6.680427623,0.508199
2012-07-01,6.6268600923,0.492277
2012-07-02,6.7434780508,0.524328
2012-07-03,6.4499924033,0.439957
2012-07-04,6.5148353331,0.457649
2012-07-05,6.6423986043,0.493823
2012-07-06,6.6721811894,0.501415
2012-07-07,6.8082737119,0.542402
2012-07-08,6.7963176879,0.537332
2012-07-09,7.032395886,0.603746
2012-07-10,7.1785800357,0.659807
2012-07-11,7.185147789,0.658737
2012-07-12,7.5559356502,0.763326
2012-07-13,7.630921256,0.780336
2012-07-14,7.5801291783,0.775553
2012-07-15,7.6272348597,0.787837
2012-07-16,8.4934056774,1.030222
2012-07-17,8.7519848551,1.087479
2012-07-18,9.0951926861,1.178838
2012-07-19,8.8795334135,1.108077
2012-07-20,8.5324506791,1.00483
2012-07-21,8.875645841,1.099189
2012-07-22,8.5065625441,0.989572
2012-07-23,8.5312112694,0.994586
2012-07-24,8.5745851707,1.004358
2012-07-25,8.7693472729,1.057303
2012-07-26,8.8757650462,1.08198
2012-07-27,8.8914598942,1.082615
2012-07-28,8.8425608942,1.064823
2012-07-29,8.7476806593,1.033379
