d,price_usd,realized_price
2012-05-15,5.0336404004,4.8592
2012-05-16,5.0877845091,4.8556
2012-05-17,5.0896616864,4.8494
2012-05-18,5.1183014828,4.8413
2012-05-19,5.1125458112,4.8415
2012-05-20,5.0942009684,4.8227
2012-05-21,5.0942213101,4.8092
2012-05-22,5.0891391888,4.8069
2012-05-23,5.1288588998,4.8088
2012-05-24,5.1191577592,4.7955
2012-05-25,5.1372768065,4.7964
2012-05-26,5.1039788048,4.7827
2012-05-27,5.134616135,4.7844
2012-05-28,5.1363254191,4.7845
2012-05-29,5.1484706978,4.7848
2012-05-30,5.1382645693,4.7845
2012-05-31,5.1816397212,4.7625
2012-06-01,5.266943758,4.7663
2012-06-02,5.2436390602,4.7677
2012-06-03,5.2127049848,4.768
2012-06-04,5.2587658574,4.7696
2012-06-05,5.4260142949,4.7754
2012-06-06,5.446169422,4.7794
2012-06-07,5.5871698098,4.7862
2012-06-08,5.6225291017,4.7921
2012-06-09,5.5570023355,4.7944
2012-06-10,5.4578935693,4.7949
2012-06-11,5.5869969816,4.8016
2012-06-12,5.7274912987,4.8099
2012-06-13,5.9093013238,4.8187
2012-06-14,5.9620231821,4.8224
2012-06-15,6.5233807192,4.8485
2012-06-16,6.4441582823,4.858
2012-06-17,6.199966488,4.8634
2012-06-18,6.3108446686,4.8686
2012-06-19,6.494826716,4.8757
2012-06-20,6.6935510555,4.8805
2012-06-21,6.6722625038,4.8878
2012-06-22,6.5637616978,4.8954
2012-06-23,6.4475416891,4.8997
2012-06-24,6.3504940386,4.9002
2012-06-25,6.31747363,4.9005
2012-06-26,6.4328608288,4.9088
2012-06-27,6.6157134015,4.9172
2012-06-28,6.590064633,4.9219
2012-06-29,6.6587767572,4.9271
2012-06-30,6.680427623,4.931
2012-07-01,6.6268600923,4.9337
2012-07-02,6.7434780508,4.9416
2012-07-03,6.4499924033,4.9395
2012-07-04,6.5148353331,4.9451
2012-07-05,6.6423986043,4.95
2012-07-06,6.6721811894,4.9553
2012-07-07,6.8082737119,4.9527
2012-07-08,6.7963176879,4.9596
2012-07-09,7.032395886,4.9703
2012-07-10,7.1785800357,4.9265
2012-07-11,7.185147789,4.9379
2012-07-12,7.5559356502,4.9532
2012-07-13,7.630921256,4.9715
2012-07-14,7.5801291783,4.9383
2012-07-15,7.6272348597,4.9446
2012-07-16,8.4934056774,4.9853
2012-07-17,8.7519848551,5.0487
2012-07-18,9.0951926861,5.0792
2012-07-19,8.8795334135,5.1033
2012-07-20,8.5324506791,5.1079
2012-07-21,8.875645841,5.1284
2012-07-22,8.5065625441,5.133
2012-07-23,8.5312112694,5.1403
2012-07-24,8.5745851707,5.1504
2012-07-25,8.7693472729,5.1642
2012-07-26,8.8757650462,5.186
2012-07-27,8.8914598942,5.1991
2012-07-28,8.8425608942,5.2102
2012-07-29,8.7476806593,5.2224
2012-07-30,9.088317249,5.238
2012-07-31,9.3209984021,5.2654
2012-08-01,9.5680209039,5.2882
2012-08-02,10.5510396961,5.3506
2012-08-03,10.9158647466,5.3878
2012-08-04,10.9197148808,5.417
2012-08-05,10.8051173776,5.4418
2012-08-06,10.8694465018,5.4641
2012-08-07,10.9412794401,5.4795
2012-08-08,11.0703915967,5.5134
2012-08-09,11.103724744,5.5333
2012-08-10,11.4475688045,5.5563
2012-08-11,11.5425355272,5.575
2012-08-12,11.5925523898,5.59
2012-08-13,11.9849629904,5.6237
2012-08-14,12.187097481,5.6566
2012-08-15,13.1700773539,5.7059
2012-08-16,13.4507908247,5.7587
2012-08-17,12.0770055424,5.7899
2012-08-18,11.5775071648,5.8607
2012-08-19,7.8306218419,5.7289
2012-08-20,9.9798766487,5.8068
2012-08-21,9.9029820181,5.8108
2012-08-22,9.7725545786,5.8193
2012-08-23,10.0886574261,5.8321
2012-08-24,10.5940425944,5.8597
2012-08-25,10.5836766715,5.876
2012-08-26,10.5455307423,5.8855
2012-08-27,10.9003800807,5.9503
2012-08-28,10.9329585336,5.973
2012-08-29,10.8677839018,5.9813
2012-08-30,10.7277488384,5.984
2012-08-31,10.1024098206,6.0311
2012-09-01,10.0065329375,6.0248
2012-09-02,10.2261162016,6.0323
2012-09-03,10.4971343092,6.0427
2012-09-04,10.3640018942,6.0534
2012-09-05,11.0255228784,6.0824
2012-09-06,11.1607690158,6.0999
2012-09-07,11.0761223366,6.1074
2012-09-08,11.0432700333,6.1173
2012-09-09,11.0620954933,6.1338
2012-09-10,11.1252888048,6.228
2012-09-11,11.2680929553,6.2406
2012-09-12,11.3152859082,6.2552
2012-09-13,11.3802992887,6.2662
2012-09-14,11.7301076224,6.2858
2012-09-15,11.7183934155,6.3059
2012-09-16,11.8869112238,6.3267
2012-09-17,11.9083171572,6.3443
2012-09-18,12.2596508387,6.3719
2012-09-19,12.5048540982,6.4083
2012-09-20,12.3671766493,6.4476
2012-09-21,12.3336578358,6.4701
2012-09-22,12.2137276251,6.4832
2012-09-23,12.1654630263,6.4926
2012-09-24,12.1135887165,6.5061
2012-09-25,12.1824053945,6.5233
2012-09-26,12.3198168597,6.5415
2012-09-27,12.3187514018,6.5598
2012-09-28,12.3814573892,6.5887
2012-09-29,12.4047515056,6.6061
2012-09-30,12.3916224728,6.6184
2012-10-01,12.3893951601,6.6293
2012-10-02,12.8072380959,6.6593
2012-10-03,12.9554304944,6.6886
2012-10-04,12.8623857779,6.7081
2012-10-05,12.7522194191,6.7152
2012-10-06,12.5051297136,6.7189
2012-10-07,11.8739970853,6.7133
2012-10-08,11.7333297481,6.7242
2012-10-09,11.8286634354,6.7227
2012-10-10,12.1091884781,6.7331
2012-10-11,12.0675518083,6.7387
2012-10-12,12.0280681648,6.7445
2012-10-13,11.9268038293,6.7467
2012-10-14,11.6505779608,6.7491
2012-10-15,11.9083095269,6.7592
2012-10-16,11.848018069,6.7672
2012-10-17,11.9193881607,6.7872
2012-10-18,11.9259328445,6.7964
2012-10-19,11.7574857972,6.8001
2012-10-20,11.6943775517,6.8017
2012-10-21,11.6574114059,6.8221
2012-10-22,11.7410779129,6.8272
2012-10-23,11.70778173,6.8318
2012-10-24,11.6343523869,6.8398
2012-10-25,10.7536298203,6.8301
2012-10-26,10.1306194936,6.8133
2012-10-27,10.4581862957,6.8081
2012-10-28,10.7099620839,6.8111
2012-10-29,10.630738976,6.8128
2012-10-30,10.8593230584,6.8175
2012-10-31,11.1460718381,6.8318
2012-11-01,10.613535751,6.8216
2012-11-02,10.5305036388,6.8145
2012-11-03,10.6507470193,6.817
2012-11-04,10.7968828925,6.8287
2012-11-05,10.7408207352,6.8315
2012-11-06,10.8681974991,6.8365
2012-11-07,10.9540989445,6.8459
2012-11-08,10.8926993711,6.8499
2012-11-09,10.815867218,6.8522
