,the_date,mvrv_zscore,price_usd
463,2012-01-07,0.397643,6.7962279807
464,2012-01-08,0.461436,7.0966505663
465,2012-01-09,0.275166,6.2885383425
466,2012-01-10,0.329598,6.5284745552
467,2012-01-11,0.408455,6.8891277212
468,2012-01-12,0.376504,6.7735641958
469,2012-01-13,0.302623,6.4543688901
470,2012-01-14,0.370482,6.7617271426
471,2012-01-15,0.434334,7.0469225582
472,2012-01-16,0.35719,6.7156076666
473,2012-01-17,0.104439,5.5996219503
474,2012-01-18,0.174177,5.9002312881
475,2012-01-19,0.266115,6.3157063416
476,2012-01-20,0.308207,6.5014919883
477,2012-01-21,0.234377,6.1805683255
478,2012-01-22,0.262397,6.3029672268
479,2012-01-23,0.278413,6.3748760771
480,2012-01-24,0.254782,6.2744764757
481,2012-01-25,0.148535,5.8104650725
482,2012-01-26,0.049089,5.3672269544
483,2012-01-27,0.036301,5.303137197
484,2012-01-28,0.119593,5.659796775
485,2012-01-29,0.058412,5.3914294573
486,2012-01-30,0.085279,5.5034819386
487,2012-01-31,0.094842,5.5382202957
488,2012-02-01,0.218489,6.0752326523
489,2012-02-02,0.223496,6.0995729129
490,2012-02-03,0.188748,5.9516109275
491,2012-02-04,0.175745,5.895413239
492,2012-02-05,0.125125,5.6781157171
493,2012-02-06,0.081316,5.4826640584
494,2012-02-07,0.123896,5.6620277002
495,2012-02-08,0.114036,5.6185281899
496,2012-02-09,0.165374,5.8356998542
497,2012-02-10,0.19018,5.9378341555
498,2012-02-11,0.110591,5.6121328533
499,2012-02-12,0.088843,5.5190971695
500,2012-02-13,0.058827,5.3483545593
501,2012-02-14,-0.137766,4.4836540918
502,2012-02-15,-0.17056,4.325520322
503,2012-02-16,-0.184234,4.255239045
504,2012-02-17,-0.150319,4.3915383729
505,2012-02-18,-0.175766,4.2700812776
506,2012-02-19,-0.146,4.3895514582
507,2012-02-20,-0.15103,4.3651359389
508,2012-02-21,-0.161859,4.315115602
509,2012-02-22,-0.135697,4.4193102876
510,2012-02-23,0.012506,5.0395151181
511,2012-02-24,0.008464,5.0256087589
512,2012-02-25,-0.053273,4.7725673811
513,2012-02-26,-0.015706,4.9264208515
514,2012-02-27,-0.009696,4.9525157563
515,2012-02-28,-0.033336,4.8572577756
516,2012-02-29,-0.020657,4.8727487557
517,2012-03-01,-0.008932,4.9220721236
518,2012-03-02,-0.05764,4.7148235871
