d,price_usd,sth_realized_price
2016-04-12,427.4276645821,409.249018767798
2016-04-13,424.8725181181,409.5571797237805
2016-04-14,425.8565949737,409.79114796106336
2016-04-15,430.724418761,410.30523638138055
2016-04-16,432.2163130333,410.6549002341144
2016-04-17,429.3399687317,410.7929325307557
2016-04-18,429.6569336645,411.2354316118731
2016-04-19,437.5687261835,412.05065021490526
2016-04-20,442.6616533022,412.74367516051524
2016-04-21,452.1647028054,414.70691443986266
2016-04-22,448.1344213326,415.28287853014695
2016-04-23,453.914722969,415.79160017541125
2016-04-24,463.3828714202,416.6523899559308
2016-04-25,465.3160066628,418.69325448369807
2016-04-26,469.6087645237,420.3314537452378
2016-04-27,445.7411130918,419.3896983989914
2016-04-28,451.0600617767,420.03856550621964
2016-04-29,457.009965225,422.5417310484806
2016-04-30,449.900484512,422.5237283739929
2016-05-01,455.0107311514,423.07332864224014
2016-05-02,444.9330611923,422.95376317158144
2016-05-03,451.6288503799,423.48161470023865
2016-05-04,448.3679675628,423.94751649564404
2016-05-05,449.3360724722,424.38325635372985
2016-05-06,461.6938623612,425.88468434053044
2016-05-07,461.3618424898,426.4627732070869
2016-05-08,461.3788722969,426.8572151897279
2016-05-09,463.4622316774,427.49519916710415
2016-05-10,451.0796683226,427.1215107427409
2016-05-11,453.8963052601,427.65884117194685
2016-05-12,455.6072559322,428.12689137920245
2016-05-13,457.2419026885,428.47335046828204
2016-05-14,458.1195248393,428.8371823036165
2016-05-15,460.8577206312,429.1949952585275
2016-05-16,455.2240773232,429.20830275397935
2016-05-17,453.545777031,429.41505632808565
2016-05-18,454.4861841029,429.90595842142824
2016-05-19,437.724187142,428.87111036683893
2016-05-20,442.3967992402,429.230110348805
2016-05-21,444.0782071888,429.3547199452617
2016-05-22,440.5586688486,429.2181200718507
2016-05-23,444.2050572764,429.27575377102795
2016-05-24,445.6744549386,429.4115240649748
2016-05-25,450.5495271771,430.09062871097086
2016-05-26,454.4337223846,430.58861836979133
2016-05-27,471.8201172998,432.9699105008709
2016-05-28,530.910597896,439.05216771280004
2016-05-29,527.5497124489,441.98957180919746
2016-05-30,533.4931490357,445.4131956811866
2016-05-31,530.9436928112,447.7226179682403
2016-06-01,537.6136788428,450.39040168532193
2016-06-02,538.7712431911,452.5285064091302
2016-06-03,570.1759882525,456.0325512020858
2016-06-04,574.2662016365,458.0490568842637
2016-06-05,575.1376380479,460.4726215344855
2016-06-06,585.8571490357,463.7841884129923
2016-06-07,578.469240678,465.3870875921293
2016-06-08,583.0975853302,467.63363374097963
2016-06-09,577.1016997078,468.9944711692694
2016-06-10,579.814993571,470.5882264384533
2016-06-11,605.4495569842,473.1090932565352
2016-06-12,670.3923743425,481.466674581727
2016-06-13,704.3217781414,495.06400104759746
2016-06-14,684.9483194039,498.9462372277624
2016-06-15,695.0014684395,504.72722703304674
2016-06-16,767.4200312683,520.2214703475958
2016-06-17,750.0146339275,525.1426695892325
2016-06-18,758.2887801286,528.9894749872765
2016-06-19,766.767132671,532.1121728506662
2016-06-20,722.497452367,532.6914595317844
2016-06-21,669.6042046756,532.8869824824768
2016-06-22,594.8329746347,527.0671166574195
2016-06-23,627.67785564,528.9362113350647
2016-06-24,664.1269856809,533.0186154495673
2016-06-25,668.8726841029,534.8027390000876
2016-06-26,630.4342421391,533.5827516817271
2016-06-27,652.2448077148,535.347882429954
2016-06-28,647.2187683811,535.7159348810812
2016-06-29,638.5863456458,535.7130532678857
2016-06-30,674.2848147282,539.8169617928226
2016-07-01,677.5123857393,541.8461043158673
2016-07-02,702.7393167738,544.5380131180889
2016-07-03,662.5500859147,544.4884402768611
2016-07-04,679.8424533606,546.4921999669004
2016-07-05,668.1659812975,547.2586958606934
2016-07-06,677.6513331385,548.5224838211911
2016-07-07,640.0532361192,547.4779640737933
2016-07-08,665.0517083577,549.3380482604683
2016-07-09,651.9419140269,550.9880873021082
