d,price_usd,realized_cap
2012-09-15,11.7183934155,62731358.9628
2012-09-16,11.8869112238,62989241.7891
2012-09-17,11.9083171572,63218414.1422
2012-09-18,12.2596508387,63546211.5043
2012-09-19,12.5048540982,63954885.1009
2012-09-20,12.3671766493,64395774.159
2012-09-21,12.3336578358,64675327.0391
2012-09-22,12.2137276251,64856665.4239
2012-09-23,12.1654630263,65002473.5563
2012-09-24,12.1135887165,65187338.6087
2012-09-25,12.1824053945,65405082.8683
2012-09-26,12.3198168597,65633444.4697
2012-09-27,12.3187514018,65869735.4665
2012-09-28,12.3814573892,66211494.2093
2012-09-29,12.4047515056,66441775.9846
2012-09-30,12.3916224728,66618459.8285
2012-10-01,12.3893951601,66771614.4564
2012-10-02,12.8072380959,67122416.2472
2012-10-03,12.9554304944,67462519.7823
2012-10-04,12.8623857779,67702944.8748
2012-10-05,12.7522194191,67819789.1082
2012-10-06,12.5051297136,67909506.2333
2012-10-07,11.8739970853,67895278.684
2012-10-08,11.7333297481,68065319.3895
2012-10-09,11.8286634354,68097535.1306
2012-10-10,12.1091884781,68252620.8679
2012-10-11,12.0675518083,68356318.3171
2012-10-12,12.0280681648,68465619.1868
2012-10-13,11.9268038293,68538088.3566
2012-10-14,11.6505779608,68604609.2728
2012-10-15,11.9083095269,68764632.9811
2012-10-16,11.848018069,68898689.1201
2012-10-17,11.9193881607,69150128.2189
2012-10-18,11.9259328445,69297566.3483
2012-10-19,11.7574857972,69380945.4474
2012-10-20,11.6943775517,69451395.6359
2012-10-21,11.6574114059,69713819.5148
2012-10-22,11.7410779129,69820359.2097
2012-10-23,11.70778173,69911135.6499
2012-10-24,11.6343523869,70048836.5038
2012-10-25,10.7536298203,69997970.8452
2012-10-26,10.1306194936,69882641.4618
2012-10-27,10.4581862957,69888396.5561
2012-10-28,10.7099620839,69975728.5427
2012-10-29,10.630738976,70047225.1308
2012-10-30,10.8593230584,70144431.6357
2012-10-31,11.1460718381,70340599.0038
2012-11-01,10.613535751,70282410.8384
2012-11-02,10.5305036388,70257655.3328
2012-11-03,10.6507470193,70333159.0871
2012-11-04,10.7968828925,70508100.3214
2012-11-05,10.7408207352,70590772.8433
2012-11-06,10.8681974991,70689507.073
2012-11-07,10.9540989445,70839681.5967
2012-11-08,10.8926993711,70933629.1346
2012-11-09,10.815867218,71010356.6778
