d,price_usd,terminal_price
2012-08-12,11.5925523898,29.1
2012-08-13,11.9849629904,29.12
2012-08-14,12.187097481,29.16
2012-08-15,13.1700773539,29.21
2012-08-16,13.4507908247,29.27
2012-08-17,12.0770055424,29.65
2012-08-18,11.5775071648,29.79
2012-08-19,7.8306218419,30.12
2012-08-20,9.9798766487,30.17
2012-08-21,9.9029820181,30.19
2012-08-22,9.7725545786,30.24
2012-08-23,10.0886574261,30.28
2012-08-24,10.5940425944,30.25
2012-08-25,10.5836766715,30.24
2012-08-26,10.5455307423,30.22
2012-08-27,10.9003800807,30.5
2012-08-28,10.9329585336,30.59
2012-08-29,10.8677839018,30.57
2012-08-30,10.7277488384,30.55
2012-08-31,10.1024098206,30.93
2012-09-01,10.0065329375,30.91
2012-09-02,10.2261162016,30.9
2012-09-03,10.4971343092,30.88
2012-09-04,10.3640018942,30.87
2012-09-05,11.0255228784,30.85
2012-09-06,11.1607690158,30.86
2012-09-07,11.0761223366,30.85
2012-09-08,11.0432700333,30.83
2012-09-09,11.0620954933,30.85
2012-09-10,11.1252888048,31.27
2012-09-11,11.2680929553,31.24
2012-09-12,11.3152859082,31.25
2012-09-13,11.3802992887,31.24
2012-09-14,11.7301076224,31.22
2012-09-15,11.7183934155,31.25
2012-09-16,11.8869112238,31.24
2012-09-17,11.9083171572,31.37
2012-09-18,12.2596508387,31.55
2012-09-19,12.5048540982,31.59
2012-09-20,12.3671766493,31.7
2012-09-21,12.3336578358,31.79
2012-09-22,12.2137276251,31.83
2012-09-23,12.1654630263,31.82
2012-09-24,12.1135887165,31.91
2012-09-25,12.1824053945,31.98
2012-09-26,12.3198168597,31.99
2012-09-27,12.3187514018,32.01
2012-09-28,12.3814573892,32.21
2012-09-29,12.4047515056,32.23
2012-09-30,12.3916224728,32.22
2012-10-01,12.3893951601,32.24
2012-10-02,12.8072380959,32.26
2012-10-03,12.9554304944,32.4
2012-10-04,12.8623857779,32.45
2012-10-05,12.7522194191,32.45
2012-10-06,12.5051297136,32.43
2012-10-07,11.8739970853,32.41
2012-10-08,11.7333297481,32.59
2012-10-09,11.8286634354,32.59
2012-10-10,12.1091884781,32.62
2012-10-11,12.0675518083,32.62
2012-10-12,12.0280681648,32.64
2012-10-13,11.9268038293,32.61
2012-10-14,11.6505779608,32.73
2012-10-15,11.9083095269,32.74
2012-10-16,11.848018069,32.76
2012-10-17,11.9193881607,32.95
2012-10-18,11.9259328445,32.97
2012-10-19,11.7574857972,32.99
2012-10-20,11.6943775517,32.98
2012-10-21,11.6574114059,33.05
2012-10-22,11.7410779129,33.03
2012-10-23,11.70778173,33.04
2012-10-24,11.6343523869,33.04
2012-10-25,10.7536298203,33.16
2012-10-26,10.1306194936,33.24
2012-10-27,10.4581862957,33.21
2012-10-28,10.7099620839,33.18
2012-10-29,10.630738976,33.17
2012-10-30,10.8593230584,33.21
2012-10-31,11.1460718381,33.21
2012-11-01,10.613535751,33.24
2012-11-02,10.5305036388,33.23
2012-11-03,10.6507470193,33.2
2012-11-04,10.7968828925,33.22
2012-11-05,10.7408207352,33.22
2012-11-06,10.8681974991,33.2
2012-11-07,10.9540989445,33.25
2012-11-08,10.8926993711,33.23
2012-11-09,10.815867218,33.23
2012-11-10,10.863260443,33.21
2012-11-11,10.8418406388,33.22
2012-11-12,11.0313424553,33.25
2012-11-13,10.9980027791,33.29
2012-11-14,10.9589524185,33.29
2012-11-15,11.1751098586,33.3
2012-11-16,11.7050448299,33.38
2012-11-17,11.7500423992,33.4
2012-11-18,11.6656310321,33.39
2012-11-19,11.7505293507,33.41
2012-11-20,11.6991703168,33.41
2012-11-21,11.7291351759,33.41
2012-11-22,12.2919979465,33.41
2012-11-23,12.2802876195,33.43
2012-11-24,12.4132043998,33.41
2012-11-25,12.5296894898,33.45
2012-11-26,12.1846262399,33.5
2012-11-27,12.1592753846,33.53
2012-11-28,12.331659827,33.54
2012-11-29,12.4976616534,33.55
2012-11-30,12.5861389275,33.61
2012-12-01,12.5923868703,33.62
2012-12-02,12.4979447566,33.62
2012-12-03,12.6569578369,33.65
2012-12-04,13.3695895815,34.09
2012-12-05,13.3127502221,34.15
2012-12-06,13.4779245403,34.16
2012-12-07,13.4772824494,34.34
2012-12-08,13.4999844091,34.33
2012-12-09,13.3465108907,34.37
2012-12-10,13.4922565809,34.45
2012-12-11,13.6154156663,34.49
2012-12-12,13.6682136426,34.58
2012-12-13,13.7552515207,34.76
2012-12-14,13.6009222528,34.81
2012-12-15,13.5309482887,34.81
2012-12-16,13.3328610766,34.83
2012-12-17,13.3200719515,34.84
2012-12-18,13.2720338691,34.88
2012-12-19,13.53854318,34.93
2012-12-20,13.5700270263,35.02
2012-12-21,13.4289680023,35.06
2012-12-22,13.4272139129,35.06
2012-12-23,13.3181057569,35.06
