d,price_usd,address_10k
2013-11-15,408.3987973349,95.0
2013-11-16,435.7984427674,95.0
2013-11-17,485.3365768556,95.0
2013-11-18,657.7785038749,95.0
2013-11-19,546.8783973115,95.0
2013-11-20,595.3390996493,94.0
2013-11-21,720.7644252601,94.0
2013-11-22,802.9169337183,92.0
2013-11-23,834.2953399891,91.0
2013-11-24,807.1666954997,91.0
2013-11-25,816.243386616,90.0
2013-11-26,916.0971601403,97.0
2013-11-27,962.9105609117,96.0
2013-11-28,1007.387163647,97.0
2013-11-29,1128.7254880187,96.0
2013-11-30,1119.2967147867,96.0
2013-12-01,964.4857936879,96.0
2013-12-02,1040.8082177089,95.0
2013-12-03,1053.6210274483,95.0
2013-12-04,1134.9322308884,96.0
2013-12-05,1027.411772827,95.0
2013-12-06,824.5817103378,96.0
2013-12-07,703.7483760257,97.0
2013-12-08,783.5733483343,97.0
2013-12-09,896.079289889,97.0
2013-12-10,977.165367329,98.0
2013-12-11,875.4640342724,101.0
2013-12-12,873.3248059877,101.0
2013-12-13,879.156135301,100.0
2013-12-14,852.856120526,100.0
2013-12-15,864.0616578609,100.0
2013-12-16,677.8941068013,100.0
2013-12-17,682.626772706,101.0
2013-12-18,526.1209763267,102.0
2013-12-19,685.5251289597,101.0
2013-12-20,600.2169542607,101.0
2013-12-21,597.0335025482,104.0
2013-12-22,615.0130352718,104.0
2013-12-23,657.9266341555,105.0
2013-12-24,650.6647451783,102.0
2013-12-25,678.2901580947,100.0
2013-12-26,749.9965949562,100.0
2013-12-27,722.5705674927,100.0
2013-12-28,715.8523630789,100.0
2013-12-29,727.2712156634,100.0
2013-12-30,735.7419970777,100.0
2013-12-31,729.5575829106,100.0
2014-01-01,752.4045499446,99.0
2014-01-02,784.9549213144,99.0
2014-01-03,807.2229390298,101.0
2014-01-04,828.6020626184,101.0
2014-01-05,902.487380263,100.0
2014-01-06,914.4599608416,101.0
2014-01-07,803.3517961987,100.0
2014-01-08,820.6900095032,98.0
2014-01-09,831.3347504874,100.0
2014-01-10,853.2988548446,99.0
2014-01-11,889.5558371193,98.0
2014-01-12,845.1913322209,98.0
2014-01-13,822.8770121975,98.0
2014-01-14,815.2936027119,97.0
2014-01-15,841.0898573641,98.0
2014-01-16,815.8548002981,99.0
2014-01-17,792.8295064757,99.0
2014-01-18,809.7835283564,99.0
2014-01-19,838.4284747341,99.0
2014-01-20,828.8852165926,99.0
2014-01-21,823.8179637639,99.0
2014-01-22,818.9763863238,99.0
2014-01-23,810.9224251958,99.0
2014-01-24,781.0425139509,100.0
2014-01-25,804.4032408007,100.0
2014-01-26,814.4993813735,101.0
2014-01-27,742.7013749708,100.0
2014-01-28,790.1764018761,100.0
2014-01-29,793.3844249094,99.0
2014-01-30,799.4744798364,100.0
2014-01-31,803.2375987849,100.0
2014-02-01,813.2195492168,100.0
2014-02-02,814.4908704267,100.0
2014-02-03,806.9974283725,100.0
2014-02-04,800.0782318936,98.0
2014-02-05,784.4736927778,105.0
2014-02-06,763.5693822326,105.0
2014-02-07,711.5712734191,106.0
2014-02-08,677.6823009414,107.0
2014-02-09,687.4060545763,107.0
2014-02-10,685.4574988369,105.0
2014-02-11,671.8996916902,105.0
