d,price_usd,binance,bybit,okx,bitget,deribit,bitmex,huobi,bitfinex,gate_io,kucoin,kraken,crypto_com,dydx,delta_exchange
2022-07-24,22653.3570260082,3479943267.4373,1469089842.4952,2111622149.1672,1247638555.0,778075895.235,315276695.3567,219366180.997,108930875.4124,,,99035513.9561,,122653264.7934,
2022-07-25,21510.1255874342,3443366240.8549,1474812556.7597,2152927012.6628,1320722831.0,785705238.465,311733141.6907,222411529.4114,110639326.4996,,,97298416.5287,,117545751.0227,
2022-07-26,21181.6591967855,3127124801.0758,1389714731.3124,2102711320.6545,1204772169.0,826476967.182,307904964.6077,213501099.682,105433244.5228,,,43764811.908,,116305395.8781,
2022-07-27,22898.4150683226,3149597053.843,1424209022.8312,2130063717.7484,1166363129.0,832405963.586,313529981.6185,221542341.728,105301159.1664,,,103029873.1704,,127415136.5104,
2022-07-28,23838.5568838691,3459945496.2977,1521074843.3941,2191359178.8134,1434721939.0,833229556.339,326332138.4432,235435830.7767,112727243.4974,,,103472540.1729,,121980205.9508,
2022-07-29,23950.7403798948,3519336747.1062,1485320857.4414,2248282237.8889,1447564443.0,856791523.488,324705815.5304,247872304.5159,114243776.0624,,,101219629.4033,,118926937.4808,
2022-07-30,23623.4349611338,3572257562.2114,1539904445.4213,2249369783.8368,1418798172.0,826873670.159,330034375.1621,253601372.3498,109381262.3067,,,106030243.426,,120941169.984,
2022-07-31,23356.1722215079,3626512922.6879,1510226507.8792,2267118023.5458,1438120060.0,835377333.896,328242743.4595,254286815.5922,105805950.0131,,,101135673.4452,,122127149.6611,
2022-08-01,23331.4426969608,3484587360.2396,1482937641.9195,2227623080.6302,1396047145.0,834284917.227,330019640.0664,254384502.6935,103935661.0653,,,101704855.6144,,119594177.2014,
2022-08-02,23031.4268834015,3426625445.1279,1506047703.8128,2216437339.4263,1268212314.0,821314573.605,323876416.4273,250800036.3395,103859230.1215,,,96072978.8849,,117377973.2885,
2022-08-03,23324.0,3386185035.0941,1442177996.0809,2199371733.56,1203948124.0,815066113.433,321179693.7572,249323634.2871,101292500.8541,,,96986340.292,,106636781.151,
2022-08-04,22628.3320821157,3491471632.3576,1517496766.2606,2228499315.2599,1236647860.0,818036414.791,329239529.7899,248202721.8299,100665153.8719,,,98393291.9447,,110040523.4071,
2022-08-05,23248.9715023378,3384391449.138,1467606711.641,2222488712.4529,1194997029.0,819510563.392,331658008.3087,245308317.3851,104775693.244,,,103057809.8918,,104125218.7045,
2022-08-06,22996.2750452952,3358938169.2073,1430501447.6106,2172450565.6596,1265380443.0,806454863.495,322607479.6846,244814557.6571,108025856.9069,,446711226.7277,95805805.0015,,111537733.8794,
2022-08-07,23153.6584713618,3387422040.687,1478636292.7028,2226008139.6085,1288155871.0,811817954.488,327379227.1985,246073483.3655,106238340.4505,,433980036.1888,94906685.6729,,108681959.4073,
2022-08-08,23803.6505154296,3406146477.7915,1488643046.3874,2270962956.3047,1323642508.0,809100531.518,321825477.2548,249434477.0423,107043831.1394,,459369376.9111,94974049.4644,,109509694.3215,
2022-08-09,23186.2917464641,3745605834.7946,1601340341.3244,2336825699.4165,1431614629.0,804940566.593,330584169.5468,254381951.6519,107555849.391,,516450545.9124,90155337.6238,,116994436.7061,
2022-08-10,23923.0584830508,3545665936.3176,1654272788.6573,2284598262.9258,1375757981.0,812099991.163,316373018.6671,258497272.8615,104127790.4574,1050470689.0015,516070149.18,49247655.6334,,108156658.6375,
2022-08-11,23934.4390561075,3583768740.8364,1503873179.7107,2276715143.5606,1350018006.0,801311236.397,319200411.8197,264911594.1901,107209399.5999,1078665534.1717,470038550.0861,48536571.225,,114705558.4604,
2022-08-12,24396.3088462887,3708013765.3184,1553805509.258,2268924940.6466,1367619193.0,810221788.472,319696914.6818,266623141.4954,104173769.7017,1070947177.3332,501247144.7463,48960407.6816,,117254644.5038,
2022-08-13,24426.2225748101,3748432631.0686,1577917478.4193,2206453391.3748,1385910451.0,822601778.16,328417370.6379,274348441.7327,105677520.2594,1199915988.2731,507384032.0487,50561290.7266,,110737165.9691,
2022-08-14,24314.2021315021,3861493352.0323,1641776167.52,2270508144.2779,1432363230.0,828306413.497,323742957.1243,269546836.6854,106060837.2685,1112862953.1864,554006401.7338,49809540.42,,105779995.3368,
2022-08-15,24083.9539748685,3702828806.2715,1660556280.7589,2273261454.4305,1429857169.0,834795546.619,327422100.7404,260628934.603,105311208.2628,1091003644.6125,492952205.3864,49595757.4328,,103956002.5721,
2022-08-16,23868.8193530099,3504653245.2146,1643643435.9925,2255296730.9345,1416096371.0,834491694.833,321745387.1905,257410627.2347,105629367.5046,1088116090.753,477270934.5305,51523686.9762,,105888664.412,
2022-08-17,23336.3489310345,3485009054.3818,1665880577.8505,2264232325.054,1461581238.0,834199048.019,323764025.5397,256163500.3768,106155313.8436,1114134698.6286,471957464.8101,52199938.6552,,105775557.2655,
2022-08-18,23221.1706028638,3655168067.5345,1771035483.689,2268777319.1722,1464289650.0,840190028.689,341497470.257,269422646.6694,104296500.4213,1067672990.0822,535839521.2334,53114403.5169,,107225188.7652,
2022-08-19,20906.7663141438,3610367625.9999,1767716354.7424,2279795411.4936,1486034435.0,847136372.067,327340730.4571,257069374.4865,103044527.473,1025300916.0222,530256540.8969,55292783.506,,107952113.0343,
2022-08-20,21146.6548021625,3104437727.3761,1556141337.1644,2145872911.2205,1339182797.0,797104491.882,301880020.7672,248924033.6647,92614610.6293,916719161.6293,471297344.6801,52462595.4038,,101877352.4167,
2022-08-21,21553.9961717125,3137724098.2615,1548978042.4274,2186394092.7797,1391869619.0,793660768.799,312923304.3956,248005298.6553,94122872.0058,907031585.4326,463170549.8505,52863160.5904,,101366430.3729,
2022-08-22,21301.0840581531,3199220596.181,1557846068.9211,2208266471.5785,1192580727.0,792730866.95,312266358.6881,246132842.6363,96487218.3057,933164867.2217,468227195.1063,51884606.468,,102125529.5678,
2022-08-23,21534.5143521333,3160187940.9168,1554065872.736,2242124142.3743,1478220573.0,794637485.346,303443054.9556,241187872.208,96247851.7595,913412705.6428,472421244.6328,53144551.1347,,105288162.3651,
2022-08-24,21424.9728232028,3212781503.8264,1584717461.2865,2230323070.6405,1530221973.0,786199211.913,297830581.0649,234403046.2964,96905303.2657,918077473.9508,497843899.0081,52420194.1792,,103744526.2299,
2022-08-25,21587.8395844535,3203702295.2976,1601295704.0507,2174328916.5368,1500987679.0,789972570.968,314547887.3331,236582617.42,97799776.0637,893037662.6515,470133169.6155,52372866.5747,,103025960.924,
2022-08-26,20246.1655733489,3235154249.8265,1580615015.2929,2156774539.95,1536743913.0,794574994.568,319430936.1985,243917051.5692,98676434.0208,887174168.3717,483582563.5922,53684535.8192,,104784407.7414,
2022-08-27,20043.9909485681,3231889174.3554,1564245041.4277,2178554427.1477,1415904351.0,769607361.123,341999585.7182,239524398.68,92457324.31,867026738.0118,485018948.6406,56710406.8502,,98626578.1317,
2022-08-28,19673.5412188778,3263526006.4949,1588250528.6032,2229592925.6471,1427259880.0,776672082.59,344687997.0177,236246324.0411,93030325.6521,836889709.0582,523559675.6679,64274252.8136,,95953830.4302,
2022-08-29,20270.960383986,3178258514.572,1580370448.2857,2220355684.1436,1327013999.0,783030260.29,352062587.645,236970070.6842,91040212.5988,831888025.1348,527136440.1218,62095627.6173,,80583771.5846,
2022-08-30,19825.4632066043,3292800579.1476,1600094094.434,2244109649.7654,1419536756.0,778782827.621,340841868.0322,230093711.6154,95585476.5793,851770416.1685,526439277.6531,65603719.1785,,82209114.1222,
2022-08-31,20024.6716059614,3255918849.6709,1568587961.6723,2220648201.1041,1365946713.0,775214629.795,333982983.2223,243199718.8043,92259799.0852,893246794.514,502843286.32,64459406.2965,,65071849.4856,
2022-09-01,20105.4626072472,3085924296.3346,1498318576.1239,2177996731.1049,1304021126.0,771875331.959,332287931.9952,225942690.8063,92589442.3517,824117139.4325,473205768.84,65193652.5963,,57790241.4956,
2022-09-02,19948.8567472823,3234982747.3292,1598544816.356,2162807104.8735,1437374408.0,776541554.609,320512207.1974,232011546.4928,92843767.3777,839562757.7547,526832865.074,66468730.2887,,58730007.7994,
2022-09-03,19803.8332697253,3135170591.8869,1551047102.9833,2079578807.3237,1413088477.0,771034544.327,325702935.6344,227350162.5745,92166783.8674,863130020.447,480132806.1072,60672815.095,,55910120.0944,
2022-09-04,19961.9118907072,3373103524.0154,1649822282.0025,2109721950.9569,1453010014.0,774250151.568,332569164.1175,236205339.5893,92008773.8959,862027860.4434,544270015.8349,58537995.0552,,55496991.3747,
2022-09-05,19797.7967884278,3297969091.6174,1652145575.4942,2115668560.6776,1618847692.0,774414412.094,340167643.3218,231787766.2672,92247767.2312,877876402.3036,547633340.1661,57118033.6155,,56252315.8665,
2022-09-06,18846.150537405,3389822343.7215,1683184140.8005,2109913693.8808,1490247803.0,774742031.491,365719981.1618,242269746.7824,91144190.7728,875583098.9951,568197785.8073,58247015.2044,,56167898.7784,
2022-09-07,19292.9070745178,3323407979.6511,1645839387.1772,2097499754.6128,1527833093.0,778233299.691,340167398.7242,226649723.9758,87772235.0096,892498531.2178,566542025.8998,57638920.0656,,53873098.7366,
2022-09-08,19319.1248512566,3180259873.9852,1621610047.0088,2073266614.7642,1438340228.0,770632801.866,342587779.3773,213827417.0584,94857629.738,833726675.2381,546708076.9532,59743628.406,,56931129.0266,
2022-09-09,21363.1894485681,3143636408.4228,1639485257.5162,2079614035.5747,1481038134.0,786248148.824,343376759.3558,205178797.2199,96455771.534,833898554.855,537689728.4466,58733258.024,,54551564.8736,
2022-09-10,21715.5972516072,3788802204.8495,1707044737.1296,2059703660.304,1821445668.0,771966764.667,341512749.2089,219398195.5507,106739473.5263,943609019.6333,700634522.228,58913584.56,,63441504.4481,
2022-09-11,21732.8643576856,3887401444.3515,1691325293.8,2083514938.0287,1928874988.0,777469268.72,363769824.2298,219044220.4138,108854721.1326,954358695.3721,657741474.0281,58924389.6838,,67360322.7176,
2022-09-12,22364.7235803624,4029093973.8235,1710064823.9574,2110461213.5755,1945747465.0,771321800.34,358277555.8211,222842087.9778,109198936.7308,982429785.2011,694985158.3504,58013479.4709,,64317038.0085,
2022-09-13,20165.0421607247,4185235501.9537,1753849452.0078,2150336545.8554,1682983626.0,782228081.912,363186664.874,226008850.0449,110967753.6036,1019859142.7547,713228100.7296,59141390.622,,64674315.0846,
2022-09-14,20246.3660424313,3339192328.4695,1452501533.4343,2076728815.9942,1466182745.0,780888707.276,324925871.4022,225990859.3968,100288010.2128,851673678.922,518787078.1902,63231701.6262,,54839737.238,
2022-09-15,19696.8698661601,3244664038.2737,1469227288.7463,2076970865.5403,1436461212.0,789666735.589,325533826.2349,219674312.5211,100446883.2653,865160720.769,517031514.9935,62615316.9506,,50342704.884,
2022-09-16,19741.5776168907,3195367909.9146,1498499726.9314,2049330930.8915,1368329826.0,784969953.826,329783093.4979,222154899.2894,98057769.8824,821238014.2283,551444254.6502,63132136.7736,,45807859.7725,
2022-09-17,20120.7023459965,3277213093.8121,1534421956.0745,2087783232.5426,1414113403.0,773454738.412,327195765.7624,231134170.5176,98464322.9977,822048077.2663,567319933.0708,61387787.875,,48172490.8205,
2022-09-18,19427.1002626534,3371291274.1189,1555767227.0013,2151951885.3984,1440462178.0,773565434.285,334646813.7952,232749742.1544,100035263.4301,847689784.8833,585255180.5943,61781986.5584,,52321717.7675,
2022-09-19,19557.9769582116,3270778501.9358,1524654064.072,2184557562.7232,1404244559.0,778770695.684,329004348.8245,234525363.7824,96410110.922,834549456.1633,626223310.4725,64102793.184,,45086481.957,
2022-09-20,18872.9498667446,3074672246.9267,1459761278.5131,2169634465.0089,1375684517.0,796069027.657,337513581.7868,221851634.3958,100585749.869,825992536.9891,503677387.6034,63387971.86,,47083922.2305,
2022-09-21,18506.7607481005,2982644683.8563,1420211529.1906,2246145870.423,1516705296.0,800524979.665,326073003.17,210422369.681,99800840.1392,790970386.4235,487271457.9403,60572093.11,,47558800.5048,
2022-09-22,19414.5396449445,2932631382.1868,1365781926.4202,2220244653.5174,1371632446.0,811541526.927,320024433.5644,204385435.8717,100491520.2741,768007934.9472,495382635.93,59637613.208,,47554126.3653,
2022-09-23,19326.8648199883,3183591494.462,1422508611.9733,2225234547.618,1443629027.0,806500095.758,317280382.718,205397701.7802,108149184.7879,834934964.713,502040795.5075,56606916.4162,,45222808.6469,
2022-09-24,18924.7677872589,3096342774.9792,1410857318.2116,2229752810.5261,1470136666.0,793800808.013,309452947.8095,201101204.6681,108848009.2496,786307768.4007,485518296.5991,57971631.295,,47307552.5578,
2022-09-25,18793.1561531268,3090820641.1877,1431636046.0803,2194030022.3399,1445709374.0,791698872.014,311373378.0638,204004232.1118,106882435.7733,783569169.3648,482953872.363,58989252.3206,,48581037.2038,
2022-09-26,19201.1317209234,3116149049.6076,1453135207.2286,2165822593.8039,1455505284.0,798922754.927,311970482.2779,205139576.8027,106854568.153,811906026.4007,487250354.2531,59235980.32,,47923163.4246,
2022-09-27,19106.7389135009,3307268264.8044,1501269588.9308,2155061108.4857,1459785915.0,807150498.319,311627902.3726,206354599.9055,110328820.0679,808862786.8768,524536639.9019,59190089.938,,50854351.1355,
2022-09-28,19454.937210111,3279760977.0603,1442679135.1202,2156379746.5574,1461155364.0,812800331.918,321866791.7948,212245934.0934,108591688.8013,828080481.4938,493498764.8333,60055603.12,,47108978.4952,
2022-09-29,19540.8664105786,3384328609.8534,1596279780.9393,1967441455.7126,1534423846.0,816222406.825,320104490.6838,208883245.522,112225462.4183,897790831.5827,524990623.744,57681490.0085,,44533645.8303,
2022-09-30,19435.1946917008,3425122608.6809,1447508891.4397,1896227490.5755,1722863351.0,826618502.83,295196364.2698,209837033.6424,113202086.0659,900504021.9253,515798107.7855,54225355.68,,42456117.0128,
2022-10-01,19311.861629398,3208700424.6356,1469503556.5384,1588977738.8975,1660936883.0,710532973.315,299738200.9854,197253066.9604,112203502.466,868555846.1992,532021490.504,53575909.6476,,42640998.1071,
2022-10-02,19015.2928050847,3232121869.5264,1518793566.286,1601773859.191,1609441593.0,711690845.911,295551785.7344,197580712.1189,111264289.3801,928552680.0451,540847737.8297,53811107.197,,41391890.9594,
2022-10-03,19633.4325859147,3226662853.6663,1499249506.1005,1601684677.8946,1613464935.0,715962428.621,301577848.4381,200189436.5207,109813400.3962,905618350.1576,563473271.7954,54055684.198,,40310971.5294,
