d,price_usd,address_100_1000
2012-11-21,11.7291351759,8985.0
2012-11-22,12.2919979465,8945.0
2012-11-23,12.2802876195,8958.0
2012-11-24,12.4132043998,8991.0
2012-11-25,12.5296894898,8998.0
2012-11-26,12.1846262399,9018.0
2012-11-27,12.1592753846,8958.0
2012-11-28,12.331659827,8994.0
2012-11-29,12.4976616534,9050.0
2012-11-30,12.5861389275,9067.0
2012-12-01,12.5923868703,9116.0
2012-12-02,12.4979447566,9118.0
2012-12-03,12.6569578369,9107.0
2012-12-04,13.3695895815,9137.0
2012-12-05,13.3127502221,9162.0
2012-12-06,13.4779245403,9187.0
2012-12-07,13.4772824494,9211.0
2012-12-08,13.4999844091,9245.0
2012-12-09,13.3465108907,9302.0
2012-12-10,13.4922565809,9351.0
2012-12-11,13.6154156663,9392.0
2012-12-12,13.6682136426,9377.0
2012-12-13,13.7552515207,9460.0
2012-12-14,13.6009222528,9450.0
2012-12-15,13.5309482887,9495.0
2012-12-16,13.3328610766,9530.0
2012-12-17,13.3200719515,9577.0
2012-12-18,13.2720338691,9560.0
2012-12-19,13.53854318,9534.0
2012-12-20,13.5700270263,9556.0
2012-12-21,13.4289680023,9561.0
2012-12-22,13.4272139129,9604.0
2012-12-23,13.3181057569,9655.0
2012-12-24,13.4266626715,9654.0
2012-12-25,13.3655670047,9702.0
2012-12-26,13.4546990175,9666.0
2012-12-27,13.3993031812,9696.0
2012-12-28,13.4555072215,9729.0
2012-12-29,13.3740038603,9765.0
2012-12-30,13.4450137989,9759.0
2012-12-31,13.5455524436,9807.0
2013-01-01,13.331371422,9795.0
2013-01-02,13.280606813,9770.0
2013-01-03,13.3840811485,9801.0
2013-01-04,13.4517211496,9830.0
2013-01-05,13.4594067668,9889.0
2013-01-06,13.5044965079,9884.0
2013-01-07,13.5560616578,9897.0
2013-01-08,13.7803506312,9965.0
2013-01-09,13.8209552566,10003.0
2013-01-10,14.1231728556,10011.0
2013-01-11,14.2276211227,10019.0
2013-01-12,14.214285656,10031.0
2013-01-13,14.1607882671,10097.0
2013-01-14,14.3179703203,10064.0
2013-01-15,14.3136377516,10055.0
2013-01-16,14.7078140479,10053.0
2013-01-17,15.5985997396,10058.0
2013-01-18,15.7157911239,10060.0
2013-01-19,15.5881263998,10077.0
2013-01-20,15.7195921373,10093.0
2013-01-21,16.7810195207,10126.0
2013-01-22,17.3001788387,10117.0
2013-01-23,17.5363954229,10066.0
2013-01-24,16.9010860722,10085.0
2013-01-25,17.4072020292,10056.0
2013-01-26,17.5536291761,10052.0
2013-01-27,17.8646280148,10039.0
2013-01-28,18.7942648743,10012.0
2013-01-29,19.5147141861,9925.0
2013-01-30,19.7374466864,10138.0
2013-01-31,20.5116430307,10153.0
2013-02-01,20.4430919562,10200.0
2013-02-02,19.6359017054,10177.0
2013-02-03,20.5789396832,10145.0
2013-02-04,20.4404879614,10158.0
2013-02-05,20.6593447276,10168.0
2013-02-06,21.2085655319,10122.0
2013-02-07,22.1177651789,10117.0
2013-02-08,22.7873650499,10086.0
2013-02-09,23.7338601537,10087.0
2013-02-10,23.9002893571,10102.0
2013-02-11,24.4972726949,10096.0
2013-02-12,24.9797364074,10139.0
2013-02-13,24.6416509348,10154.0
2013-02-14,27.2823898203,10123.0
2013-02-15,27.1712692291,10151.0
2013-02-16,27.346163562,10140.0
2013-02-17,26.9272513764,10145.0
2013-02-18,26.9288676371,10131.0
2013-02-19,29.4136243808,10071.0
2013-02-20,29.8198072276,10003.0
2013-02-21,29.8180689158,9986.0
2013-02-22,30.4726565324,9897.0
2013-02-23,29.8064545459,9908.0
2013-02-24,29.8828484924,9903.0
2013-02-25,30.352033095,9894.0
2013-02-26,31.1555373507,9919.0
2013-02-27,31.240261083,9951.0
2013-02-28,33.3752939366,10041.0
2013-03-01,34.6062570341,10018.0
2013-03-02,34.143515924,10052.0
2013-03-03,34.4517404845,10067.0
2013-03-04,36.3762652507,10074.0
2013-03-05,40.6729539903,10115.0
2013-03-06,43.2849961852,10154.0
2013-03-07,41.9474407158,10147.0
2013-03-08,43.902928915,10153.0
2013-03-09,46.8885866123,10151.0
2013-03-10,46.066038459,10183.0
2013-03-11,48.2750745772,10169.0
2013-03-12,44.4135452582,10230.0
2013-03-13,47.0161908516,10192.0
2013-03-14,46.9255625535,10181.0
2013-03-15,46.9025172478,10123.0
2013-03-16,47.1570156996,10154.0
2013-03-17,47.3334997838,10178.0
2013-03-18,51.3654363913,10159.0
2013-03-19,59.4986011114,10138.0
2013-03-20,63.6874854982,10168.0
2013-03-21,70.9175250053,10197.0
2013-03-22,69.8460845418,10194.0
2013-03-23,64.3831163705,10196.0
2013-03-24,71.6904242065,10182.0
2013-03-25,74.3140892496,10119.0
2013-03-26,78.614197432,10112.0
2013-03-27,88.8520799138,10087.0
2013-03-28,87.6731739608,10125.0
2013-03-29,90.2956993583,10134.0
2013-03-30,92.1899599883,10185.0
2013-03-31,93.8992384231,10153.0
2013-04-01,103.5803469112,10124.0
2013-04-02,116.6799442412,10084.0
2013-04-03,131.3848093782,10100.0
2013-04-04,133.0071204757,10102.0
2013-04-05,142.626065488,10087.0
2013-04-06,143.0818229649,10094.0
2013-04-07,162.8522145769,10079.0
2013-04-08,186.351161848,10121.0
2013-04-09,230.6829966952,10139.0
2013-04-10,161.192889661,10113.0
2013-04-11,82.901585038,9992.0
2013-04-12,111.476373194,10063.0
2013-04-13,97.6090718703,10051.0
2013-04-14,88.8614913998,10043.0
2013-04-15,80.874693166,9922.0
2013-04-16,68.2831387271,9992.0
2013-04-17,92.8640369135,10045.0
2013-04-18,108.6283450923,10011.0
2013-04-19,119.012283239,10002.0
2013-04-20,128.208288893,10004.0
2013-04-21,118.4832437563,10006.0
2013-04-22,126.3142717598,10049.0
2013-04-23,142.1272180532,10058.0
2013-04-24,154.1332778045,10049.0
2013-04-25,141.0086592785,10035.0
2013-04-26,137.2096004196,10043.0
2013-04-27,128.2266696052,10049.0
2013-04-28,134.6235695617,10035.0
2013-04-29,143.8103781926,10090.0
2013-04-30,139.1296475453,10075.0
2013-05-01,116.1138010403,10071.0
2013-05-02,106.3409846973,10076.0
2013-05-03,96.3168402741,10029.0
2013-05-04,112.4976363691,10023.0
2013-05-05,116.488715827,9977.0
2013-05-06,112.1185961952,9943.0
2013-05-07,111.6092128735,9970.0
2013-05-08,113.1360618548,9933.0
2013-05-09,111.9745327107,9935.0
2013-05-10,117.6910368837,9967.0
2013-05-11,115.4997776628,9933.0
2013-05-12,114.8856755596,9927.0
2013-05-13,117.4044566461,9880.0
2013-05-14,107.8655665693,9792.0
2013-05-15,108.9868524255,9686.0
2013-05-16,112.9178740503,9621.0
2013-05-17,117.284616014,9666.0
2013-05-18,118.1698766803,9722.0
2013-05-19,117.033880187,9727.0
2013-05-20,117.8186364699,9743.0
2013-05-21,117.2520409117,9759.0
2013-05-22,118.9781735827,9746.0
2013-05-23,123.7261560491,9781.0
2013-05-24,128.9710806546,9791.0
2013-05-25,128.8449152542,9784.0
2013-05-26,130.1586011105,9769.0
